Preprocess,CNN,DenseNet161,EfficientNetB1,ResNet50,VGG16
baseline,72.27564102564102,82.05128205128206,74.67948717948718,72.27564102564102,62.5
histogram_equalization,72.27564102564102,75.64102564102564,67.62820512820512,78.36538461538461,62.5
gaussian_blur,73.23717948717949,68.26923076923077,70.83333333333333,66.66666666666667,62.5
bilateral_filer,74.51923076923077,76.28205128205128,77.24358974358974,45.032051282051285,62.5
adaptive_masking,81.57051282051282,74.03846153846153,70.3525641025641,73.23717948717949,62.5
adaptive_masking_equalized,75.16025641025641,74.19871794871794,71.63461538461539,75.64102564102564,62.5
adaptive_masking_gaussian,68.58974358974359,74.35897435897436,72.59615384615384,81.57051282051282,62.5
adaptive_masking_bilateral,69.71153846153847,75.0,73.5576923076923,73.3974358974359,62.5
otsu,78.84615384615384,76.92307692307692,71.7948717948718,77.40384615384616,62.5
scharr,73.5576923076923,76.28205128205128,73.71794871794872,72.91666666666667,62.5
