Preprocess,CNN,DenseNet161,EfficientNetB1,ResNet50,VGG16
baseline,61.37820512820513,58.01282051282051,66.18589743589743,61.53846153846154,38.782051282051285
histogram_equalization,66.18589743589743,68.58974358974359,62.17948717948718,65.86538461538461,38.782051282051285
gaussian_blur,64.26282051282051,63.62179487179487,68.26923076923077,61.69871794871795,68.91025641025641
bilateral_filer,63.62179487179487,67.62820512820512,62.82051282051282,68.58974358974359,68.42948717948718
adaptive_masking,70.03205128205128,66.18589743589743,64.90384615384616,63.14102564102564,67.1474358974359
adaptive_masking_equalized,68.10897435897436,73.5576923076923,62.98076923076923,66.66666666666667,61.05769230769231
adaptive_masking_gaussian,63.30128205128205,65.5448717948718,60.09615384615385,70.03205128205128,65.86538461538461
adaptive_masking_bilateral,63.30128205128205,68.42948717948718,63.62179487179487,66.82692307692308,52.72435897435897
otsu,69.55128205128206,68.91025641025641,66.66666666666667,65.22435897435898,38.782051282051285
scharr,69.71153846153847,66.50641025641026,58.333333333333336,62.5,38.782051282051285
